cobranca_id,cliente_id,data_vencimento,data_pagamento,valor_cobranca,status_cobranca,tipo_cobranca,forma_pagamento,criado_em
34,6403,27/06/2020 00:00,2020-07-05,"R$ 2928,00",Paga,upsell,pix,2020-06-17 00:00:00
35,4085,15/02/2020 00:00,14/02/2020,2719.42,Paga,mensalidade,cartao,05/02/2020 00:00
36,4282,26/08/2022 00:00,,2622.14,em aberto,upsell,boleto,16/08/2022 00:00
37,5877,06/01/2020 00:00,43833,731.89,paga,Mensal,cartao,27/12/2019
38,7676,2024-06-25 00:00:00,,"3085,34",atrasada,setup,boleto,15/06/2024 00:00
39,1798,44799,,"1240,13",aberta,Mensal,boleto,16/08/2022
40,8695,44192,2020-12-30,"R$ 4378,00",Paga,Mensal,boleto,2020-12-17 00:00:00
41,1251,2024-10-19,,2546.69,em aberto,mensalidade,cartao,09/10/2024
42,7061,2022-03-12,,"R$ 2080,00",atrasada,setup,,2022-03-02 00:00:00
43,7368,11/09/2021,07/09/2021 00:00,4475.36,paga,upsell,boleto,01/09/2021
44,6775,45441,01/06/2024,"2843,90",Paga,Mensal,cartao,45431
45,6927,2022-08-21 00:00:00,2022-08-27,938.58,Paga,setup,boleto,11/08/2022 00:00
46,5383,45345,2024-02-25,518.87,paga,upsell,cartao,13/02/2024
47,8999,2023-08-25 00:00:00,2023-08-26 00:00:00,"4302,77",Paga,mensalidade,,2023-08-15 00:00:00
48,6267,2024-01-09 00:00:00,,"R$ 2957,00",aberta,upsell,boleto,30/12/2023 00:00
49,5832,44613,,2187.50,em aberto,setup,,11/02/2022
50,6689,17/01/2024 00:00,2024-01-15,"1104,80",pago,mensalidade,,45298
51,4366,45602,2024-11-04 00:00:00,"R$ 1854,00",paga,mensalidade,boleto,27/10/2024 00:00
52,5813,2020-04-10 00:00:00,,"R$ 4142,00",em aberto,upsell,,31/03/2020 00:00
53,6107,44846,,4872.59,em aberto,Mensal,boleto,2022-10-02
54,4686,2021-11-18 00:00:00,44525,"3733,25",Paga,setup,,44508
55,4653,17/08/2020 00:00,,352.45,em aberto,Mensal,,2020-08-07 00:00:00
56,6154,2022-12-22,,2931.05,atrasada,upsell,,2022-12-12 00:00:00
57,4879,17/07/2024,,"4484,15",aberta,mensalidade,,07/07/2024 00:00
58,7264,2022-11-09 00:00:00,13/11/2022,"2778,83",Paga,Mensal,pix,30/10/2022 00:00
59,8142,31/03/2023,2023-03-29,"345,10",paga,upsell,pix,21/03/2023 00:00
60,5819,45014,05/04/2023,"4707,53",Paga,Mensal,pix,19/03/2023
61,2879,17/03/2020 00:00,43904,3968.71,paga,Mensal,,2020-03-07 00:00:00
62,3488,2021-04-27 00:00:00,44318,"1162,76",paga,upsell,pix,17/04/2021 00:00
63,5295,2020-09-10,10/09/2020 00:00,4877.25,Paga,Mensal,cartao,31/08/2020
64,2197,45016,2023-04-09 00:00:00,"R$ 3819,00",pago,upsell,pix,2023-03-21
65,4455,2021-10-28 00:00:00,,4002.99,atrasada,Mensal,boleto,18/10/2021
66,3860,2021-09-08 00:00:00,13/09/2021 00:00,"676,08",paga,setup,boleto,44437
67,3776,29/07/2022 00:00,2022-08-01 00:00:00,1590.48,pago,upsell,cartao,44761
68,2402,2021-02-07 00:00:00,2021-02-05 00:00:00,"89,66",Paga,mensalidade,,44224
69,5606,11/07/2021,14/07/2021 00:00,545.91,Paga,upsell,pix,44378
70,6850,44545,14/12/2021 00:00,"631,64",paga,mensalidade,cartao,05/12/2021
71,8087,2024-10-01 00:00:00,,"2679,26",atrasada,mensalidade,boleto,2024-09-21
72,1323,07/01/2024 00:00,2024-01-08 00:00:00,"R$ 3802,00",Paga,Mensal,,28/12/2023
73,2313,31/08/2024,,"R$ 2375,00",aberta,setup,pix,21/08/2024 00:00
74,6338,23/12/2023 00:00,,"R$ 2097,00",em aberto,Mensal,pix,13/12/2023
75,7048,2022-02-27,23/02/2022 00:00,"456,92",pago,mensalidade,cartao,44609
76,6028,13/10/2024,,4785.99,em aberto,setup,cartao,2024-10-03
77,1437,2023-07-19,,"1405,37",em aberto,upsell,pix,09/07/2023 00:00
78,4439,23/02/2022,28/02/2022,"R$ 2123,00",Paga,Mensal,,13/02/2022 00:00
79,1532,2024-02-05 00:00:00,,2839.76,em aberto,mensalidade,,45317
80,1676,2023-09-27 00:00:00,45206,"2746,22",pago,Mensal,cartao,2023-09-17
81,4074,2023-04-12 00:00:00,,"4722,74",atrasada,mensalidade,pix,2023-04-02
82,8993,15/01/2020,,"3300,73",em aberto,mensalidade,pix,05/01/2020
83,4734,2021-10-20,44487,"R$ 300,00",paga,setup,pix,10/10/2021 00:00
84,6756,27/10/2022,03/11/2022 00:00,"657,88",Paga,Mensal,boleto,17/10/2022
85,6861,44620,2022-03-05,"2287,88",pago,setup,cartao,18/02/2022
86,2951,20/08/2020,2020-08-15,"R$ 855,00",paga,setup,,44053
87,3705,15/12/2020,,"R$ 2424,00",em aberto,Mensal,pix,05/12/2020 00:00
88,8428,2022-03-15 00:00:00,12/03/2022,"R$ 2038,00",pago,Mensal,,05/03/2022 00:00
89,6403,21/03/2020,,"1152,79",aberta,upsell,,11/03/2020 00:00
90,5401,20/08/2022,2022-08-30 00:00:00,664.05,Paga,mensalidade,boleto,10/08/2022
91,1945,23/03/2021,,202.88,aberta,setup,,13/03/2021
92,6748,20/07/2021,44403,"4406,75",Paga,Mensal,,10/07/2021 00:00
93,8588,22/01/2024,,"R$ 1966,00",atrasada,mensalidade,cartao,45303
94,8033,25/01/2021 00:00,,"3813,70",atrasada,mensalidade,,2021-01-15
95,4574,44200,,"1942,10",em aberto,setup,cartao,2020-12-25
96,2211,2020-06-14 00:00:00,,"R$ 4789,00",atrasada,Mensal,pix,04/06/2020 00:00
97,1113,43947,43957,"3121,00",pago,setup,pix,43937
98,5237,07/06/2023 00:00,,2888.58,aberta,Mensal,boleto,28/05/2023
99,3059,2020-01-24 00:00:00,,647.78,atrasada,setup,cartao,14/01/2020
100,3292,44590,2022-02-03,1597.90,paga,setup,pix,2022-01-19
101,5478,2022-04-26 00:00:00,2022-05-02,262.76,paga,Mensal,,16/04/2022
102,8701,28/03/2024,23/03/2024,2112.08,Paga,Mensal,pix,18/03/2024
103,7286,08/11/2024,,"R$ 3868,00",atrasada,mensalidade,cartao,45594
104,8530,2022-06-22,24/06/2022,"R$ 2566,00",Paga,upsell,pix,44724
105,8504,15/05/2021,,"R$ 1831,00",aberta,mensalidade,boleto,44321
106,1911,2022-04-04,06/04/2022,"R$ 3588,00",paga,mensalidade,boleto,25/03/2022
107,5622,05/05/2022,2022-05-11 00:00:00,"1106,08",pago,mensalidade,pix,2022-04-25
108,7804,27/06/2020 00:00,44008,"3528,81",pago,upsell,cartao,17/06/2020
109,5354,2020-05-11 00:00:00,21/05/2020 00:00,"2344,24",paga,setup,cartao,01/05/2020
110,6944,2021-09-17,2021-09-13,593.05,Paga,mensalidade,pix,2021-09-07
111,8873,06/09/2020 00:00,12/09/2020,"1140,06",Paga,Mensal,cartao,44070
112,5189,44562,44571,"678,90",paga,upsell,,22/12/2021 00:00
113,5830,2022-09-02,,"3985,59",aberta,Mensal,cartao,44796
114,7361,21/06/2020,2020-06-23,1366.05,pago,setup,pix,2020-06-11
115,1981,44348,44356,"R$ 742,00",pago,mensalidade,,44338
116,6220,2022-04-04 00:00:00,,2081.80,atrasada,setup,cartao,44645
117,1736,2024-04-20,,"R$ 2714,00",atrasada,setup,pix,2024-04-10 00:00:00
118,3809,2021-01-26,,3720.10,atrasada,upsell,cartao,44212
119,4859,2024-10-01 00:00:00,10/10/2024,"R$ 1199,00",paga,upsell,pix,21/09/2024
120,2328,2023-11-07 00:00:00,,2807.96,aberta,setup,boleto,28/10/2023 00:00
121,5606,44888,,"4173,67",atrasada,Mensal,cartao,2022-11-13
122,6741,2020-03-05 00:00:00,,"227,98",aberta,upsell,boleto,2020-02-24
123,4937,2020-12-21,2020-12-19 00:00:00,"4078,68",pago,mensalidade,boleto,2020-12-11 00:00:00
124,3301,2022-05-25 00:00:00,2022-05-22 00:00:00,"R$ 3477,00",pago,upsell,boleto,2022-05-15 00:00:00
125,2416,28/01/2023,25/01/2023,"R$ 178,00",paga,Mensal,pix,18/01/2023 00:00
126,1192,06/04/2020,,"R$ 2456,00",atrasada,setup,,27/03/2020 00:00
127,5108,2022-12-21,2022-12-31 00:00:00,"R$ 2150,00",pago,Mensal,boleto,11/12/2022 00:00
128,5475,2023-07-02 00:00:00,45108,"R$ 3359,00",Paga,mensalidade,boleto,22/06/2023
129,1334,09/07/2020 00:00,2020-07-13 00:00:00,"2215,45",paga,mensalidade,boleto,29/06/2020
130,2586,2022-01-22 00:00:00,01/02/2022,2063.34,paga,Mensal,pix,12/01/2022 00:00
131,3099,30/10/2023,25/10/2023,"R$ 2758,00",pago,mensalidade,boleto,2023-10-20 00:00:00
132,8174,2020-08-11,09/08/2020,1176.03,pago,upsell,cartao,2020-08-01
133,2001,08/03/2020 00:00,07/03/2020,2583.33,paga,setup,cartao,43888
134,5552,45202,45210,"2611,85",paga,setup,pix,23/09/2023
135,6628,45453,,2748.40,atrasada,Mensal,,45443
136,2221,2024-01-14,20/01/2024,922.34,paga,Mensal,cartao,04/01/2024
137,6516,2023-02-10 00:00:00,12/02/2023,"1739,85",Paga,mensalidade,pix,2023-01-31
138,3727,2024-07-08 00:00:00,2024-07-04 00:00:00,771.74,Paga,Mensal,pix,28/06/2024
139,2287,45272,,4002.32,aberta,upsell,pix,45262
140,4245,43900,14/03/2020,"3216,72",paga,upsell,pix,43890
141,2210,44088,,3033.46,atrasada,Mensal,pix,2020-09-04 00:00:00
142,1765,2024-07-05 00:00:00,2024-07-03 00:00:00,"R$ 1043,00",paga,setup,cartao,45468
143,7919,30/03/2020 00:00,43928,"R$ 4748,00",paga,Mensal,,20/03/2020
144,4370,2023-09-30,,2480.25,em aberto,Mensal,cartao,2023-09-20 00:00:00
145,8330,2023-08-22 00:00:00,,"4944,65",atrasada,setup,cartao,12/08/2023 00:00
146,6286,2023-03-19 00:00:00,2023-03-21 00:00:00,4140.75,Paga,setup,pix,44994
147,6174,2024-09-21 00:00:00,19/09/2024,"944,63",paga,upsell,boleto,45546
148,4126,28/09/2020 00:00,,"R$ 2342,00",atrasada,Mensal,,18/09/2020 00:00
149,8159,2022-08-03 00:00:00,2022-08-06 00:00:00,2317.05,pago,mensalidade,boleto,24/07/2022
150,1240,44604,44601,"R$ 180,00",paga,Mensal,boleto,02/02/2022 00:00
151,3588,23/08/2023 00:00,28/08/2023 00:00,1440.67,pago,setup,cartao,13/08/2023
152,2773,44261,09/03/2021,3792.24,paga,upsell,cartao,2021-02-24
153,6335,2021-12-06,2021-12-01 00:00:00,"R$ 3157,00",paga,Mensal,pix,44526
154,5588,01/12/2024,2024-12-08,4119.08,Paga,mensalidade,pix,21/11/2024
155,5997,2023-02-21 00:00:00,2023-02-22,"298,85",paga,upsell,cartao,11/02/2023
156,4379,2022-07-09,,1116.78,em aberto,setup,pix,2022-06-29
157,3873,2024-04-20,2024-04-29,"1273,52",pago,mensalidade,,10/04/2024
158,6668,2020-02-26 00:00:00,07/03/2020,1043.66,paga,Mensal,pix,43877
159,8821,2024-04-30 00:00:00,2024-05-02,2735.79,paga,upsell,pix,20/04/2024 00:00
160,8301,2023-06-25,45102,4562.67,paga,setup,boleto,15/06/2023 00:00
161,3650,43855,28/01/2020 00:00,"3684,65",paga,upsell,pix,43845
162,2117,2024-05-19,2024-05-24 00:00:00,"4864,43",pago,setup,boleto,2024-05-09 00:00:00
163,7091,24/08/2024,,3251.52,em aberto,upsell,cartao,45518
164,6281,2021-11-25 00:00:00,2021-11-23 00:00:00,"1901,83",Paga,mensalidade,pix,15/11/2021 00:00
165,3892,2020-08-05,12/08/2020 00:00,2473.77,Paga,upsell,,2020-07-26 00:00:00
166,7855,43899,2020-03-17,2998.68,pago,mensalidade,boleto,28/02/2020 00:00
167,1497,45492,,3562.37,aberta,Mensal,,45482
168,5241,11/10/2021 00:00,2021-10-21 00:00:00,"R$ 643,00",paga,setup,cartao,2021-10-01 00:00:00
169,3692,17/06/2022,20/06/2022 00:00,"4002,80",Paga,setup,boleto,44719
170,3259,04/07/2022,04/07/2022 00:00,"R$ 4879,00",Paga,Mensal,pix,24/06/2022 00:00
171,6777,2020-10-15 00:00:00,25/10/2020 00:00,"89,03",paga,setup,boleto,2020-10-05 00:00:00
172,7465,44121,,"211,00",em aberto,mensalidade,pix,07/10/2020 00:00
173,3907,06/01/2023 00:00,2023-01-02 00:00:00,"R$ 1733,00",pago,Mensal,cartao,44922
174,8553,23/10/2021 00:00,2021-10-26,"3664,03",pago,upsell,boleto,2021-10-13
175,6292,2021-07-11 00:00:00,,"R$ 2327,00",em aberto,mensalidade,,2021-07-01 00:00:00
176,4386,2021-08-04,2021-08-13 00:00:00,"R$ 3175,00",paga,upsell,,2021-07-25 00:00:00
177,6452,13/01/2020,,"3565,15",aberta,setup,,2020-01-03 00:00:00
178,6198,15/07/2021 00:00,21/07/2021,"5000,64",paga,upsell,cartao,2021-07-05 00:00:00
179,5852,2023-03-17,2023-03-17 00:00:00,"R$ 1728,00",paga,mensalidade,boleto,07/03/2023 00:00
180,4213,2024-08-10 00:00:00,09/08/2024 00:00,2421.91,pago,upsell,,2024-07-31
181,7395,2024-08-26 00:00:00,,"R$ 954,00",aberta,setup,,45520
182,3614,11/09/2024 00:00,08/09/2024 00:00,2590.47,paga,upsell,pix,01/09/2024 00:00
183,8437,44717,2022-06-08 00:00:00,"R$ 3278,00",Paga,Mensal,,2022-05-26 00:00:00
184,4328,44487,,"2405,73",em aberto,upsell,cartao,44477
185,4154,2022-10-23,22/10/2022 00:00,"R$ 3003,00",Paga,mensalidade,pix,2022-10-13
186,8225,28/05/2023 00:00,06/06/2023 00:00,"R$ 1951,00",pago,Mensal,pix,18/05/2023 00:00
187,8703,2022-06-03,44711,"R$ 1378,00",paga,Mensal,cartao,24/05/2022
188,2211,2020-02-10 00:00:00,,4214.33,em aberto,setup,pix,43861
189,8752,2021-10-16 00:00:00,20/10/2021,"R$ 1307,00",Paga,upsell,,2021-10-06 00:00:00
190,8832,20/07/2022,,"3761,73",atrasada,upsell,boleto,10/07/2022
191,2129,44545,,"1715,69",aberta,setup,,2021-12-05 00:00:00
192,3812,44781,,"1054,76",em aberto,mensalidade,,29/07/2022
193,8639,28/10/2024 00:00,45597,"R$ 3904,00",pago,setup,cartao,18/10/2024 00:00
194,5412,45592,2024-10-25,"3606,61",Paga,mensalidade,boleto,17/10/2024
195,4745,45503,,"R$ 526,00",em aberto,upsell,cartao,2024-07-20
196,5590,20/09/2020 00:00,26/09/2020,"2294,45",pago,setup,pix,10/09/2020 00:00
197,5874,44205,07/01/2021,"R$ 2807,00",Paga,setup,boleto,44195
198,5438,2021-08-12,11/08/2021,2696.30,Paga,mensalidade,,2021-08-02 00:00:00
199,5463,2024-10-17 00:00:00,21/10/2024,"1206,36",paga,setup,boleto,07/10/2024 00:00
200,5462,44586,44587,"493,74",pago,upsell,boleto,15/01/2022
201,1585,44383,07/07/2021,"4016,12",paga,Mensal,pix,26/06/2021
202,5828,2020-09-21 00:00:00,,1857.62,aberta,upsell,,2020-09-11
203,1291,17/09/2020 00:00,2020-09-27,2675.39,paga,Mensal,,07/09/2020 00:00
204,6193,04/08/2020,06/08/2020 00:00,4777.95,pago,mensalidade,cartao,2020-07-25
205,4413,30/04/2020 00:00,,"R$ 1751,00",em aberto,Mensal,,43941
206,1744,45348,2024-03-02,"R$ 1532,00",pago,Mensal,boleto,16/02/2024
207,3177,2020-08-17 00:00:00,,"4960,31",em aberto,setup,,2020-08-07
208,1314,12/08/2021 00:00,,"R$ 783,00",em aberto,setup,boleto,2021-08-02
209,5424,2024-01-08 00:00:00,11/01/2024,2107.27,paga,Mensal,,45289
210,2046,01/06/2021 00:00,44343,3846.80,pago,Mensal,pix,22/05/2021
211,6168,07/11/2022,44881,"R$ 2668,00",pago,setup,cartao,2022-10-28
212,8244,30/03/2020 00:00,26/03/2020 00:00,"1201,43",pago,upsell,pix,2020-03-20 00:00:00
213,1339,2022-01-27,25/01/2022,"2581,59",Paga,setup,pix,17/01/2022 00:00
214,8733,2021-03-19 00:00:00,2021-03-23 00:00:00,"R$ 2947,00",Paga,upsell,cartao,2021-03-09 00:00:00
215,1970,11/08/2022 00:00,44785,4266.46,Paga,upsell,pix,44774
216,7626,2023-04-02 00:00:00,10/04/2023,"1843,57",paga,Mensal,,2023-03-23 00:00:00
217,4907,2021-06-08 00:00:00,2021-06-05 00:00:00,"R$ 4669,00",paga,setup,,44345
218,1613,2022-01-24,,1118.29,em aberto,setup,boleto,2022-01-14 00:00:00
219,6923,29/05/2022,25/05/2022,428.69,paga,Mensal,boleto,2022-05-19
220,8296,2024-05-14 00:00:00,45425,"R$ 1608,00",Paga,upsell,cartao,45416
221,4857,22/02/2020 00:00,43891,"4993,06",pago,Mensal,pix,12/02/2020 00:00
222,6458,26/07/2022 00:00,,3640.64,em aberto,upsell,,16/07/2022 00:00
223,7897,24/09/2021,,89.87,em aberto,upsell,cartao,2021-09-14 00:00:00
224,6405,01/02/2024 00:00,06/02/2024,"3549,21",Paga,upsell,,45313
225,5472,07/10/2024 00:00,45571,1351.62,Paga,Mensal,,2024-09-27
226,7354,28/10/2023 00:00,2023-10-28,2125.81,paga,mensalidade,pix,2023-10-18
227,4218,44441,44448,"R$ 4529,00",paga,upsell,,44431
228,8471,44177,2020-12-15 00:00:00,"2063,87",pago,mensalidade,,44167
229,6566,25/10/2021,2021-10-22,"R$ 2505,00",paga,Mensal,boleto,2021-10-15
230,8278,01/04/2023,,"608,17",aberta,upsell,,45007
231,7551,2024-05-26,45433,"R$ 1342,00",paga,setup,cartao,2024-05-16
232,1794,08/07/2023,2023-07-06,1821.09,Paga,setup,boleto,45105
233,1977,29/12/2020 00:00,08/01/2021,2052.15,paga,mensalidade,boleto,19/12/2020
234,1471,2021-12-13,2021-12-15,"2673,51",paga,mensalidade,boleto,44533
235,7900,45370,,2857.27,aberta,Mensal,pix,09/03/2024
236,2001,2024-11-04 00:00:00,14/11/2024 00:00,645.40,paga,mensalidade,boleto,25/10/2024 00:00
237,3358,2023-07-06 00:00:00,2023-07-15,"R$ 1142,00",paga,mensalidade,cartao,45103
238,2017,29/10/2024,,"R$ 1705,00",atrasada,Mensal,cartao,2024-10-19
239,3441,2023-09-26,,4967.90,em aberto,Mensal,cartao,2023-09-16 00:00:00
240,8757,2023-12-27,27/12/2023 00:00,"R$ 1258,00",Paga,upsell,pix,2023-12-17 00:00:00
241,2127,2022-12-19,,"R$ 1812,00",atrasada,mensalidade,,09/12/2022 00:00
242,1122,14/08/2020,2020-08-22 00:00:00,"R$ 4449,00",Paga,mensalidade,pix,04/08/2020
243,1439,2022-03-24,,"R$ 3591,00",em aberto,setup,boleto,14/03/2022 00:00
244,8126,2024-07-10,,"R$ 1759,00",aberta,setup,boleto,2024-06-30
245,8076,44532,2021-12-07 00:00:00,"R$ 71,00",Paga,upsell,,22/11/2021 00:00
246,7146,2021-04-21,,"4081,06",atrasada,Mensal,boleto,11/04/2021 00:00
247,2450,2021-07-12,,"2687,41",em aberto,mensalidade,,02/07/2021
248,2539,44173,17/12/2020,"R$ 1176,00",paga,Mensal,boleto,2020-11-28 00:00:00
249,8284,44015,,2144.03,em aberto,mensalidade,boleto,44005
250,2611,21/03/2020 00:00,2020-03-21 00:00:00,"576,08",Paga,upsell,boleto,2020-03-11
251,6704,43931,,"4692,55",aberta,upsell,cartao,2020-03-31
252,6562,45439,,4999.03,em aberto,mensalidade,cartao,45429
253,1071,03/12/2022 00:00,29/11/2022 00:00,"3383,63",paga,upsell,,2022-11-23
254,2272,28/10/2024,2024-10-31,"4014,04",pago,upsell,,2024-10-18 00:00:00
255,1088,43984,,"R$ 3873,00",aberta,mensalidade,pix,2020-05-23 00:00:00
256,7695,2021-04-16,44302,"R$ 3821,00",Paga,setup,cartao,44292
257,7049,44904,44914,"R$ 3005,00",paga,Mensal,cartao,2022-11-29 00:00:00
258,2117,25/08/2022,,"2138,03",atrasada,upsell,,15/08/2022
259,7569,26/05/2023 00:00,,"R$ 3196,00",aberta,Mensal,cartao,2023-05-16 00:00:00
260,8088,03/04/2024 00:00,09/04/2024 00:00,"4580,93",paga,upsell,cartao,24/03/2024
261,2952,24/05/2021 00:00,26/05/2021 00:00,"R$ 2603,00",paga,Mensal,cartao,2021-05-14 00:00:00
262,8151,2020-05-01 00:00:00,30/04/2020,"1657,32",paga,upsell,cartao,21/04/2020 00:00
263,1828,2024-06-25,,1540.27,atrasada,setup,pix,2024-06-15 00:00:00
264,2566,2022-01-13,,"R$ 2560,00",em aberto,mensalidade,,2022-01-03 00:00:00
265,7191,45010,2023-03-30 00:00:00,"713,80",Paga,Mensal,pix,15/03/2023 00:00
266,6195,44866,07/11/2022,961.15,paga,setup,,2022-10-22 00:00:00
267,3436,45032,45041,"R$ 2124,00",paga,upsell,pix,45022
268,1644,2020-08-30,44068,"2188,47",paga,Mensal,pix,20/08/2020 00:00
269,4277,10/03/2023,2023-03-12,3863.71,paga,mensalidade,boleto,28/02/2023
270,4405,08/04/2022,,4433.81,em aberto,mensalidade,boleto,2022-03-29 00:00:00
271,4026,01/05/2022 00:00,09/05/2022,"266,48",pago,upsell,pix,44672
272,8159,2024-07-21,18/07/2024 00:00,4946.89,pago,mensalidade,pix,11/07/2024 00:00
273,3628,2021-12-17,15/12/2021 00:00,"R$ 1399,00",paga,mensalidade,boleto,2021-12-07 00:00:00
274,4842,17/04/2020,2020-04-27,"4239,29",paga,Mensal,boleto,43928
275,6768,43994,43998,350.59,paga,upsell,pix,02/06/2020
276,5647,06/05/2020 00:00,10/05/2020,"R$ 2329,00",paga,upsell,cartao,26/04/2020
277,8796,2024-09-24 00:00:00,45567,"1439,66",paga,setup,,2024-09-14 00:00:00
278,5039,2022-08-21 00:00:00,,"R$ 4062,00",em aberto,setup,,11/08/2022 00:00
279,5520,18/08/2022 00:00,,"R$ 4429,00",atrasada,setup,boleto,2022-08-08
280,4721,16/04/2023,45035,896.40,pago,mensalidade,cartao,2023-04-06 00:00:00
281,1618,45486,08/07/2024 00:00,2962.98,paga,upsell,boleto,45476
282,2158,2021-03-09,2021-03-18,"R$ 190,00",Paga,setup,cartao,27/02/2021 00:00
283,2429,2023-09-20 00:00:00,45193,900.67,pago,setup,boleto,45179
284,6012,29/05/2024,31/05/2024 00:00,3109.30,Paga,upsell,pix,2024-05-19
285,1648,44746,,2693.58,aberta,setup,cartao,2022-06-24 00:00:00
286,5174,2020-12-15,2020-12-20,"3801,75",pago,upsell,pix,05/12/2020
287,3008,19/11/2020,,"R$ 1484,00",atrasada,upsell,,2020-11-09 00:00:00
288,6807,2024-11-23,19/11/2024 00:00,1885.85,paga,mensalidade,boleto,45609
289,4817,04/04/2024 00:00,2024-04-01 00:00:00,1225.53,paga,Mensal,pix,2024-03-25
290,3984,44244,,"R$ 3999,00",atrasada,setup,,2021-02-07
291,7648,24/09/2020,,228.34,atrasada,mensalidade,,14/09/2020
292,3522,23/06/2021,,4368.76,em aberto,upsell,cartao,44360
293,5198,2023-08-25,45169,1840.88,pago,mensalidade,,2023-08-15
294,1566,2024-07-07,45482,550.64,paga,setup,cartao,27/06/2024 00:00
295,4315,05/07/2024 00:00,,"R$ 1530,00",em aberto,mensalidade,cartao,2024-06-25
296,5952,03/04/2023 00:00,2023-04-11 00:00:00,"R$ 3434,00",Paga,upsell,,2023-03-24 00:00:00
297,3663,14/12/2021,2021-12-10 00:00:00,4180.14,paga,mensalidade,boleto,2021-12-04
298,1940,20/02/2022,25/02/2022,"4452,79",Paga,Mensal,cartao,2022-02-10
299,7418,17/01/2022 00:00,,"R$ 2600,00",em aberto,mensalidade,cartao,07/01/2022 00:00
300,5498,2020-02-05,2020-02-13 00:00:00,"919,40",paga,setup,,26/01/2020 00:00
301,7562,07/08/2020 00:00,,"R$ 2390,00",aberta,upsell,cartao,2020-07-28
302,8428,2023-04-09,17/04/2023,"2875,21",pago,Mensal,pix,45015
303,8296,44253,44251,"4449,33",paga,mensalidade,pix,44243
304,1100,18/06/2020 00:00,2020-06-23 00:00:00,600.95,pago,setup,,2020-06-08 00:00:00
305,3705,44489,15/10/2021 00:00,"R$ 2162,00",paga,upsell,pix,2021-10-10 00:00:00
306,3495,2022-10-08 00:00:00,,"4048,76",em aberto,mensalidade,boleto,2022-09-28 00:00:00
307,3348,2022-07-13 00:00:00,,"1223,97",atrasada,mensalidade,cartao,44745
